Company,Commercial Registered Agent,Registered Agent,Owners
"MILLER UNDERGROUND, LLC",,,
"CONDUENT HR SERVICES, LLC",CORPORATION SERVICE COMPANY,,
"CONDUENT GOVERNMENT SYSTEMS, LLC",CORPORATION SERVICE COMPANY,,
"CONDUENT BUSINESS SERVICES, LLC",CORPORATION SERVICE COMPANY,,
"COMCAST BROADBAND SECURITY, LLC (DBA XFINITY HOME)",C T CORPORATION SYSTEM,,
"CONDUENT STATE & LOCAL SOLUTIONS, INC.",CORPORATION SERVICE COMPANY,,
"ATOS IT OUTSOURCING SERVICES, LLC",CORPORATION SERVICE COMPANY,,
"ATOS HEALTHCARE SERVICES, LLC",CORPORATION SERVICE COMPANY,,
"GXO LOGISTICS WORLDWIDE, LLC","REGISTERED AGENT SOLUTIONS, INC.",,
"XZILON, INC.",CORPORATION SERVICE COMPANY,,
XYZ SERVICES LLC,,,
XYZ LLC,,,
XYMTEC INDUSTRIES LLC,,,
"CONTRACT FREIGHTERS, INC.",CORPORATION SERVICE COMPANY,,
"XYLEM DEWATERING SOLUTIONS, INC.",C T CORPORATION SYSTEM,,
XXI CENTURY LTD.,,,
"XTTRIUM LABORATORIES, INC.","INCORP SERVICES, INC.",,
"CONDUENT STATE HEALTHCARE, LLC",CORPORATION SERVICE COMPANY,,
XTREME XTERIORS LLC,AAA NORTH DAKOTA REGISTERED AGENT LLC,,
XTREME TROPHY PROPERTIES,,,"HAWLEY REALTY, INC."
"XYLEM WATER SOLUTIONS U.S.A., INC.",C T CORPORATION SYSTEM,,
XTREME SIGNS & GRAPHIX,,,
AKITA EQUIPMENT CORP.,C T CORPORATION SYSTEM,,
X-TREME OUTFITTERS,,,COREY GULKE
XTREME PRODUCTS LLC,,,
"CONDUENT HUMAN RESOURCE SERVICES, LLC",CORPORATION SERVICE COMPANY,,
XTREME INSTALLATION LLC,,,
CIRRATA PARTNERS INSURANCE AGENCY LLC,"3H AGENT SERVICES, INC.",,
XTREME INSTALLATIONS,,,DAVID RODRIGUEZ
"XTREME FIRE PROTECTION, LLC","INCORP SERVICES, INC.",,
XTREME GUN WORKS,,,WET WORK HYDROGRAPHICS LLC
"GXO LOGISTICS SUPPLY CHAIN, INC.","REGISTERED AGENT SOLUTIONS, INC.",,
"XTREME ELECTRICAL SERVICES, INC. (DBA X ELECTRIC)",PARACORP INCORPORATED,,
XTREME ELECTRIC INC,,,
MCKESSON MEDICAL-SURGICAL MEDIMART INC.,CORPORATION SERVICE COMPANY,,
"XTREME DRILLING, LLC","INCORP SERVICES, INC.",,
XTREME CARPET CLEANING LLC,,,
"XTREME AUTO, INC.",,,
X-TREME DETAILING LLC,,,
XTREME BUILDERS,,,JOSH JELINEK
X-TREME DETAILING,,,WILL A SIRY
XTRAVAGANT ELEGANCE,,,"XIOMARA A. URIBE, ECATERINA M. QUINTANA"
"XTRA-OFFICE, INC.",,,
"XTRA PROPERTIES, LLC",,,
XTREME AUTO DETAILZ,,,SCOTT A KRAFT
XTO OFFSHORE INC.,CORPORATION SERVICE COMPANY,,
"XTS HOLDINGS, LLC",,,
XTRA APPAREL CO LLC,,,
XTO ENERGY INC.,CORPORATION SERVICE COMPANY,,
X-TECH LLC,"VOGEL LAW FIRM, LTD.",,
"XTDIRECT, LLC",AAA NORTH DAKOTA REGISTERED AGENT LLC,,
"XTO HOLDINGS, LLC",CORPORATION SERVICE COMPANY,,
XSTREAM CLEAN CAR WASH,,,"KARLGAARD ENTERPRISES, LLC"
XTREME LIGHTING,,,
XSIDING XTERIORS LLC,,,
"XS DAKOTA, LLC","JAMES R. BULLIS, P.C.",,
X-TERIOR SOLUTIONS,,,TRAVIS C TOEPKE
XSTREME MD,,,"LIFE LINE TECHNOLOGIES, LLC"
XRQ CORP.,"NORTHWEST REGISTERED AGENT SERVICE, INC.",,
"X-RAY LIMA TANGO, LLC",,,
XTREME TRANSPORT LOGISTICS LLC,,,
"XRT, LLC",CORPORATE CREATIONS NETWORK INC.,,
XPT SPECIALTY,,,"XPT PARTNERS, LLC"
"XSTREAM PROPERTIES, LLP",,,
"XPT PARTNERS, LLC","3H AGENT SERVICES, INC.",,
