Company,Commercial Registered Agent,Registered Agent,Owners
XAPIC STUDIOS,,,PATRICIA A ROGALLA
"X4I LIMITED (DBA X4I LIMITED, LLC)",CORPORATION SERVICE COMPANY,,
"XACTUS, LLC",CORPORATION SERVICE COMPANY,,
"X2COMM, INC.","NATIONAL REGISTERED AGENTS, INC.",,
XAP CORPORATION,CORPORATION SERVICE COMPANY,,
X REPUBLIC SALON LLC,,,
"XANADU PRODUCTS, L.L.C.",,,
X GOLF MINOT,,,"ELITE GOLF, LLC"
X GOLF BISMARCK,,,"ELITE GOLF 2, LLC"
X2VA LLC,,,
XYZ SERVICES LLC,,,
"X4I LIMITED, LLC",,,X4I LIMITED
XYMTEC INDUSTRIES LLC,,,
"XZILON, INC.",CORPORATION SERVICE COMPANY,,
"XYLEM DEWATERING SOLUTIONS, INC.",C T CORPORATION SYSTEM,,
"XYLEM WATER SOLUTIONS U.S.A., INC.",C T CORPORATION SYSTEM,,
"XTTRIUM LABORATORIES, INC.","INCORP SERVICES, INC.",,
XXI CENTURY LTD.,,,
XTREME XTERIORS LLC,AAA NORTH DAKOTA REGISTERED AGENT LLC,,
XTREME TROPHY PROPERTIES,,,"HAWLEY REALTY, INC."
"XTS HOLDINGS, LLC",,,
XTREME SIGNS & GRAPHIX,,,
XTREME PRODUCTS LLC,,,
X-TREME OUTFITTERS,,,COREY GULKE
XTREME TRANSPORT LOGISTICS LLC,,,
XTREME INSTALLATIONS,,,DAVID RODRIGUEZ
XTREME INSTALLATION LLC,,,
XTREME GUN WORKS,,,WET WORK HYDROGRAPHICS LLC
"X-TREME FITNESS, LLC",,,
"XTREME FIRE PROTECTION, LLC","INCORP SERVICES, INC.",,
"XTREME ELECTRICAL SERVICES, INC. (DBA X ELECTRIC)",PARACORP INCORPORATED,,
XTREME LIGHTING,,,
"XTREME DRILLING, LLC","INCORP SERVICES, INC.",,
XTREME ELECTRIC INC,,,
X REALTY LLC,,,
XTREME CARPET CLEANING LLC,,,
"X S BROKERS INSURANCE AGENCY, INC.","REGISTERED AGENT SOLUTIONS, INC.",,
"XTREME AUTO, INC.",,,
XACTLYONE FOUNDATION,"NORTHWEST REGISTERED AGENT SERVICE, INC.",,
XTRAVAGANT ELEGANCE,,,"XIOMARA A. URIBE, ECATERINA M. QUINTANA"
XYZ LLC,,,
"XTRA PROPERTIES, LLC",,,
"XTRA-OFFICE, INC.",,,
XTO OFFSHORE INC.,CORPORATION SERVICE COMPANY,,
XANDER PRODUCTS & SERVICE LLC,,,
XTO ENERGY INC.,CORPORATION SERVICE COMPANY,,
"XANADU, LLC",,,
X-TECH LLC,"VOGEL LAW FIRM, LTD.",,
XTREME AUTO DETAILZ,,,SCOTT A KRAFT
XSTREME MD,,,"LIFE LINE TECHNOLOGIES, LLC"
"XTO HOLDINGS, LLC",CORPORATION SERVICE COMPANY,,
X-TREME DETAILING LLC,,,
XTREME BUILDERS,,,JOSH JELINEK
"XSTREAM PROPERTIES, LLP",,,
XTRA APPAREL CO LLC,,,
"XRT, LLC",CORPORATE CREATIONS NETWORK INC.,,
XSIDING XTERIORS LLC,,,
"X-RAY LIMA TANGO, LLC",,,
"XR SOLUTIONS, LLC","MONTGOMERY & PENDER, P.C.",,
XS AUTOMATION,,,JEROME M HINDS
XRQ CORP.,"NORTHWEST REGISTERED AGENT SERVICE, INC.",,
XSTREAM CLEAN CAR WASH,,,"KARLGAARD ENTERPRISES, LLC"
XPT SPECIALTY,,,"XPT PARTNERS, LLC"
"XPRESSDOCS PARTNERS, LTD. (DBA XPRESSDOCS PARTNERS, LTD., A TEXAS LP)",CORPORATION SERVICE COMPANY,,
"XPT PARTNERS, LLC","3H AGENT SERVICES, INC.",,
XPRESS PAINTING SOLUTIONS LLC,,,
"XPRESSDOCS GP, LLC",CORPORATION SERVICE COMPANY,,
XPRESS BLASTING LLC,,,
XQUISITE CONSTRUCTION LLC,,,
XPON INTERNATIONAL LLC,LEGALINC CORPORATE SERVICES INC.,,
XPONET (DBA XPONET CORPORATION),"INCORP SERVICES, INC.",,
XPI LLC,,,
XPRESS MONEY,,,MONEYDART GLOBAL SERVICES INC.
XPERT ENTERPRISES LLC,,,
XPERT DRYWALL LLC,"NORTHWEST REGISTERED AGENT SERVICE, INC.",,
"XPERIENCE TITLE, LLC",COGENCY GLOBAL INC.,,
XPERIENCE INVESTMENTS LLC,,,
XPERIENCE HEALTH & FITNESS LLC,,,
XPERIENCE HEALTH & FITNESS,,,XPERIENCE HEALTH & FITNESS LLC
XPERIENCE BARBERS LLC,,,
XPERIENCE BARBERS,,,DELSON SAINTAL
XP SYSTEMS CORPORATION,CORPORATION SERVICE COMPANY,,
"XOXO, PHOENIIX LLC",,,
XOXO L.L.C.,REGISTERED AGENTS INC,,
"XPERT XTERIORS, LLC",,,
"XPRESSDOCS PARTNERS, LTD., A TEXAS LP",,,"XPRESSDOCS PARTNERS, LTD."
XOME INC.,CORPORATION SERVICE COMPANY,,
XOME REALTY SERVICES LLC,CORPORATION SERVICE COMPANY,,
XO SKINCARE LLC,,,
"XO COMMUNICATIONS SERVICES, LLC",C T CORPORATION SYSTEM,,
"XS DAKOTA, LLC","JAMES R. BULLIS, P.C.",,
"XPO LOGISTICS FREIGHT, INC.","REGISTERED AGENT SOLUTIONS, INC.",,
XMODN SECURITY LLC,REGISTERED AGENTS INC,,
"XTDIRECT, LLC",AAA NORTH DAKOTA REGISTERED AGENT LLC,,
"XM ACRES, LLP",,,
XM42,,,ROUGHRIDER ARMS LLC
XOME FIELD SERVICES LLC,CORPORATION SERVICE COMPANY,,
XOME VALUATIONS,,,"VOXTUR APPRAISAL SERVICES, LLC"
XLT TRANSPORT,,,"X-RAY LIMA TANGO, LLC"
"XLT MANAGEMENT SERVICES, INC.",C T CORPORATION SYSTEM,,
XLXF LLC,,,
"XL TRANSPORT, LLC",,,
XLT PACK AND SHIP,,,"X-RAY LIMA TANGO, LLC"
XO BEAUTY,,,ASHLEY MACK
XN FINANCIAL SERVICES INC.,"REGISTERED AGENT SOLUTIONS, INC.",,
XL FARMS,,,
XKULSIV KICKZ LLC,"USCA, INC.",,
XIULING INC,,,
XL LOGISTICS LLC,,,
"XILAJU, LLC",,,
"XLHOME, P.C. (DBA HOME HEALTH ASSESSMENTS OF NORTH DAKOTA, P.C.)",C T CORPORATION SYSTEM,,
"XIE XIE, LLC",,,
"XIGENT SOLUTIONS, LLC",C T CORPORATION SYSTEM,,
X-TERIOR SOLUTIONS,,,TRAVIS C TOEPKE
"XL HOMES, CORP.",,,
X-TREME DETAILING,,,WILL A SIRY
"X-GEN PHARMACEUTICALS, INC.","INCORP SERVICES, INC.",,
"XGP PROPERTIES, LLC",,,
"XH, LLC",CORPORATION SERVICE COMPANY,,
"XERIS PHARMACEUTICALS, INC.",C T CORPORATION SYSTEM,,
XEROX FINANCIAL SERVICES LLC,CORPORATION SERVICE COMPANY,,
"XENITH, LLC",UNITED AGENT GROUP INC.,,
"XETA TECHNOLOGIES, INC.","REGISTERED AGENT SOLUTIONS, INC.",,
XFINITY HOME,,,"COMCAST BROADBAND SECURITY, LLC"
XEROX CORPORATION,"THE PRENTICE-HALL CORPORATION SYSTEM, INC.",,
XECARE LLC,"CAPITOL CORPORATE SERVICES, INC.",,
"XL INDUSTRIAL SERVICES, INC.",CORPORATION SERVICE COMPANY,,
XEBEC SYSTEMS USA LLC,"INCORP SERVICES, INC.",,
"XEBU, LLC",,,
XERCOR INSURANCE SERVICES LLC,COGENCY GLOBAL INC.,,
XE USA,,,"CONTINENTAL EXCHANGE SOLUTIONS, INC."
"XELIX DISTRIBUTION, INC.",C T CORPORATION SYSTEM,,
"XENCOM ENERGY MANAGEMENT, LLC","REGISTERED AGENT SOLUTIONS, INC.",,
"XCONNECT, LLC","INCORP SERVICES, INC.",,
XCMG AMERICA FINANCIAL LLC,,,
XCLUSIVE APPAREL,,,SHOES 'N' SUCH LLP
XLT TAXI,,,"X-RAY LIMA TANGO, LLC"
"XCL ROYALTYCO, LLC",C T CORPORATION SYSTEM,,
"XCLOUD, LLC","REGISTERED AGENT SOLUTIONS, INC.",,
